backgroundColor,beanId,colorGroup,description,flavorName,glutenFree,groupName,imageUrl,ingredients,kosher,seasonal,sugarFree
#FADF50,22,khaki,Like A Private Island For Your Taste Buds. Flavored With Real Pineapple Juice For Sweet Tropical Goodness.,Crushed Pineapple,False,"['Jelly Belly Official Flavors', 'Tropical Mix Flavors']",https://cdn-tp1.mozu.com/9046-m1/cms/files/f8683af4-2326-4d12-a477-1d6f2afd6652,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Pineapple Juice From Concentrate', 'Contains 2% Or Less Of The Following:', 'Citric Acid', 'Artificial Flavor', 'Color Added', 'Yellow 5', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze.""]",True,False,False
#5B3640,23,darkslategray,There'S Nothing Like A Dr Pepper. The Soda With A Signature Blend Of 23 Flavors Packed Into A Jelly Bean.,Dr Pepper®,False,"['Jelly Belly Official Flavors', 'Soda Pop Shoppe® Flavors']",https://cdn-tp1.mozu.com/9046-m1/cms/files/cea8f58e-5cd9-4aa7-aa30-9f24c6360508,"['IngredientsSerialized: Srn Syrup', 'Modified Food Starch', 'Contains 2% Or Less Of The Following:', 'Sodium Citrate', 'Phosphoric Acid', 'Natural And Artificial Flavor', 'Color Added', 'Red 40 Lake', 'Blue 2 Lake', 'Red 40', 'Yellow 5 Lake', 'Vegetable & Fruit Juice (Color)', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze"", 'Caffeine.']",True,False,False
#D2D0CE,24,lightgray,A Jelly Bean That Tastes Just Like A Vanilla Bean.,French Vanilla,False,['Jelly Belly Official Flavors'],https://cdn-tp1.mozu.com/9046-m1/cms/files/3e8e01cb-f2a8-4121-ab59-b0a608ad5a92,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Contains 2% Or Less Of The Following:', 'Vanilla Beans', 'Natural And Artificial Flavors', 'Color Added', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze.""]",True,False,False
#CED8C2,25,lightgray,Zesty And Bittersweet With Hints Of Elderberry And Lime.,Gin & Tonic,False,['Cocktail Classics® Flavors'],https://cdn-tp1.mozu.com/9046-m1/cms/files/43a9c3a6-6f8c-44e4-a80b-df041f725fe4,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Contains 2% Or Less Of The Following:', 'Natural & Artificial Flavors', 'Color Added', 'Blue 1 Lake', 'Yellow 5 Lake', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze"", 'Tapioca Dextrin.']",True,False,False
#91484c,26,sienna,Enjoy The Oven-Baked Like Taste Of Blueberry Cake Without The Crumbs!,Glazed Blueberry Cake,False,['Krispy Kreme® Doughnuts Flavors'],https://cdn-tp1.mozu.com/9046-m1/cms/files/e2d439f7-eee7-47b4-8b84-47c3ff8afbc7,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Contains 2% Or Less Of The Following:', 'Apple Juice Concentrate', 'Citric Acid', 'Cocoa Powder', 'Natural & Artificial Flavors', 'Color Added', 'Red 40 Lake', 'Yellow 5 & 6 Lake', 'Blue 1 & 2 Lake', 'Red 40', 'Vegetable And Fruit Juice (Color)', 'Tapioca Dextrin', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze"", 'Ground Cinnamon', 'Salt.']",True,False,False
#553E5C,27,darkslategray,A Sweet Grape Flavor With An Exciting Rush Of Fun And Flavor In Every Bean.,Grape Crush,False,['Soda Pop Shoppe® Flavors'],https://cdn-tp1.mozu.com/9046-m1/cms/files/64e1b48e-8989-4ec3-be34-f19a95ffc864,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Contains 2% Or Less Of The Following:', 'Citric Acid', 'Sodium Lactate', 'Tartaric Acid', 'Grape Juice Concentrate', 'Acacia Gum', 'Natural & Artificial Flavor', 'Color Added', 'Red 40', 'Blue 1', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze.""]",True,False,False
#0E7534,28,forestgreen,Tart And Crisp Flavor Made From Real Apple Juice.,Green Apple,False,"['Jelly Belly Official Flavors', 'Kids Mix Flavors', 'Tropical Mix Flavors']",https://cdn-tp1.mozu.com/9046-m1/cms/files/5b0694eb-f83b-4bc2-a78e-0b48d5bfcd0e,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Apple Juice From Concentrate', 'Contains 2% Or Less Of The Following:', 'Citric Acid', 'Artificial Flavor', 'Color Added', 'Yellow 5', 'Blue 1', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze.""]",True,False,False
#4F657C,29,dimgray,Take Your Taste Buds To A Tropical Island Paradise. Expertly Flavored With A Blend Of Juices From Real Fruits.,Island Punch,False,"['Jelly Belly Official Flavors', 'Tropical Mix Flavors']",https://cdn-tp1.mozu.com/9046-m1/cms/files/2b66c2e0-5c3d-47da-bf51-acebb5e41d96,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Passion Fruit Juice From Concentrate', 'Contains 2% Or Less Of The Following:', 'Citric Acid', 'Natural & Artificial Flavor', 'Color Added', 'Blue 1 & 2 Lake', 'Blue 1 & 2', 'Red 40 Lake', 'Red 40', 'Yellow 5 Lake', 'Yellow 5', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze.""]",True,False,False
#00798B,30,teal,"A Delicious Medley Of Raspberry, Blueberry And Strawberry Flavors.",Berry Blue,False,"['Jelly Belly Official Flavors ,Tropical Mix Flavors', 'Kids Mix Flavors']",https://cdn-tp1.mozu.com/9046-m1/cms/files/80249b46-c082-4de5-b654-64c904d7ea31,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Contains 2% Or Less Of The Following:', 'Citric Acid', 'Natural & Artificial Flavor', 'Color Added', 'Blue 1', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze.""]",True,False,False
#293656,31,darkslategray,A Beautifully Sparkling Bean Flavored With Real Blueberry Puree For A Taste That Bursts With Flavor.,Jewel Blueberry,False,['Jewel Jelly Beans Flavors'],https://cdn-tp1.mozu.com/9046-m1/cms/files/cdd532da-3ece-4bd6-a3f7-14b543756939,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Blueberry Juice From Puree', 'Contains 2% Or Less Of The Following:', 'Citric Acid', 'Natural & Artificial Flavor', 'Color Added', 'Blue 1 Lake', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze.""]",True,False,False
#CD8784,32,rosybrown,This Sparkly Bean Has Everything But The Bubble! Taking A Trip Down Memory Lane Has Never Tasted So Good.,Jewel Bubble Gum,False,['Jewel Jelly Beans Flavors'],https://cdn-tp1.mozu.com/9046-m1/cms/files/03fdb902-86ed-43fa-9f8b-0e5a30ceb975,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Contains 2% Or Less Of The Following:', 'Artificial Flavor', 'Color Added', 'Red 40 Lake', 'Red 40', 'Yellow 5 Lake', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze.""]",True,False,False
#E9CCAD,33,wheat,"Ready To Toast To Any Occasion With A Classy Irridescent Finish, This Bean Contains All The Flavour Of A Glass Of Bubbly Without Any Of The Alcohol.",Jewel Champagne,False,['Jewel Jelly Beans Flavors'],https://cdn-tp1.mozu.com/9046-m1/cms/files/e2145438-c107-4b94-a76d-6ba1e047c414,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Contains 2% Or Less Of The Following:', 'Natural & Artificial Flavors', 'Citric Acid', 'Color Added', 'Maltodextrin', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze.""]",True,False,False
#E5DCD5,34,gainsboro,Creamy And Smooth Taste With A Special Sparkle That Makes This Bean Shine.,Jewel Cream Soda,False,['Jewel Jelly Beans Flavors'],https://cdn-tp1.mozu.com/9046-m1/cms/files/c7d4188a-d542-445d-b1a8-a40fd64a9c82,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Contains 2% Or Less Of The Following:', 'Natural And Artificial Flavors', 'Color Added', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze.""]",True,False,False
#602825,35,saddlebrown,Includes A Fizzy Sensation With Just The Right Blend Of Flavours. Perfect To Enjoy On Its Own Or Mixed With Other Flavours.,Jewel Ginger Ale,False,['Jewel Jelly Beans Flavors'],https://cdn-tp1.mozu.com/9046-m1/cms/files/48c985a0-b84a-4c10-932f-0851cab8c803,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Contains 2% Or Less Of The Following:', 'Natural And Artificial Flavors', 'Citric Acid', 'Color Added', 'Yellow 5', 'Red 40', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze.""]",True,False,False
#3D7889,36,steelblue,You Just Picked A Winner! Flavourings Of Real Grape Juice Give It A Fresh From The Vine Taste.,Jewel Grape Soda,False,['Jewel Jelly Beans Flavors'],https://cdn-tp1.mozu.com/9046-m1/cms/files/b0d69aca-6114-46ab-80a1-0c9ad46187ed,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Contains 2% Or Less Of The Following:', 'Citric Acid', 'Sodium Lactate', 'Tartaric Acid', 'Grape Juice Concentrate', 'Gum Arabic', 'Natural & Artificial Flavor', 'Vegetable & Fruit Juice (Color)', 'Color Added', 'Red 40', 'Blue 1', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze""]",True,False,False
#FCB76C,37,sandybrown,A Beautifully Sparkling Citrus Treat Flavored With Real Orange Puree.,Jewel Orange,False,['Jewel Jelly Beans Flavors'],https://cdn-tp1.mozu.com/9046-m1/cms/files/079a2eb5-6c13-456c-8d7e-9d4fe7b2c85b,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Orange Juice From Orange Puree', '2% Or Less Of The Following:', 'Citric Acid', 'Sodium Lactate', 'Natural Flavor', 'Color Added', 'Yellow 6', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze.""]",True,False,False
#2B9B39,38,forestgreen,"So Shiny, So Tart. Flavored With Real Apple Juice.",Jewel Sour Apple,False,"['Jewel Jelly Beans Flavors', 'Sours Flavors']",https://cdn-tp1.mozu.com/9046-m1/cms/files/7fcbe714-3501-415c-af4f-9d815bcf09f9,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Apple Juice From Concentrate', 'Contains 2% Or Less Of The Following:', 'Citric Acid', 'Fumaric Acid', 'Sodium Lactate', 'Sodium Citrate', 'Artificial Flavor', 'Color Added', 'Yellow 5', 'Yellow 5 Lake', 'Blue 1', 'Blue 1 Lake', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze.""]",True,False,False
#D6BA03,39,goldenrod,A Shiny Bean That Packs Some Serious Pucker Power. Flavored With Real Lemon Puree To Deliver A Tasty Tartness.,Jewel Sour Lemon,False,"['Jewel Jelly Beans Flavors', 'Sours Flavors']",https://cdn-tp1.mozu.com/9046-m1/cms/files/4bfae66c-e08a-4f33-a6c8-6e126927c6e9,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Lemon Juice From Puree', 'Contains 2% Or Less Of The Following:', 'Citric Acid', 'Fumaric Acid', 'Sodium Lactate', 'Sodium Citrate', 'Natural Flavor', 'Color Added', 'Yellow 5', 'Yellow 5 Lake', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze.""]",True,False,False
#9C4B6F,40,indianred,This Bean Sparkles Like A Ruby And Is Made With Real Cherry Juice To Burst With Flavor.,Jewel Very Cherry,False,['Jewel Jelly Beans Flavors'],https://cdn-tp1.mozu.com/9046-m1/cms/files/92cdbdb8-d760-4cb0-8c52-c99f3c46573c,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Cherry Juice From Concentrate', 'Contains 2% Or Less Of The Following:', 'Citric Acid', 'Artificial Flavor', 'Color Added', 'Red 40', 'Red 40 Lake', 'Turmeric (Color)', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze.""]",True,False,False
#AAAE45,41,yellowgreen,"With Just One Bite, It'S Easy To See Why It'S Called Juicy Pear. The Fresh Sweet Taste Comes From Flavorings Of Real Pear.",Juicy Pear,False,['Jelly Belly Official Flavors'],https://cdn-tp1.mozu.com/9046-m1/cms/files/40f80743-d4a1-4350-84db-c7b6d2e21217,"['Sugar', 'Glucose Syrup', 'Modified Cornstarch', 'Pear Juice Concentrate', 'Flavouring', 'Acidity Regulator (E330)', 'Glazing Agents (E901', 'E903', 'E904)', 'Colours (E100', 'E171)', 'Fruit And Vegetable Concentrates (Carrot', 'Pumpkin', 'Spirulina', 'Apple', 'Hibiscus)', 'Tapioca Dextrin.']",True,False,False
#8EBF14,42,yellowgreen,A Sweet And Exotic Taste Made With Flavorings Of Real Kiwifruit.,Kiwi,False,"['Jelly Belly Official Flavors', 'Tropical Mix Flavors']",https://cdn-tp1.mozu.com/9046-m1/cms/files/652b2681-d41e-4ca3-907d-3020935e7a3c,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Kiwi Juice From Concentrate', 'Contains 2% Or Less Of The Following:', 'Natural And Artificial Flavor', 'Color Added', 'Yellow 5', 'Blue 1', 'Citric Acid', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze.""]",True,False,False
#DD4B62,43,indianred,The Iconic Blend Of Tangy Kiwi And Sweet Strawberry Made Famous By Snapple® In The Form Of A Jelly Bean.,Kiwi Strawberry,False,['Snapple® Mix Flavors'],https://cdn-tp1.mozu.com/9046-m1/cms/files/6fc6faa5-8377-44c5-a889-da4c567a2fde,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Contains 2% Or Less Of The Following:', 'Cranberry Puree', 'Raspberry Puree', 'Grape Juice Concentrate', 'Mango Juice Concentrate', 'Strawberry Juice Concentrate', 'Kiwi Juice Concentrate', 'Lemon Puree', 'Cherry Juice Concentrate', 'Cranberry Juice Concentrate', 'Natural Flavors', 'Citric Acid', 'Color Added', 'Grape Concentrate (Color)', 'Turmeric (Color)', 'Apple (Color)', 'Hibiscus (Color)', 'Black Currant (Color)', 'Carrot (Color)', ""Confectioner'S Glaze"", 'Beeswax', 'Carnauba Wax.']",True,False,False
